"学校名","别名"
同济大学,"同济大学,同濟大學,同济,上海铁道大学医学院,上海铁道大学,同济大学医学院,上海同济大学,同济大學,上海建筑材料工业学院,上海铁道医学院,上海城市建设学院,Tongji,Tongji University"
上海科技大学,"上海科技大学,上海科大,上科大,ShanghaiTech University"
常熟理工学院,"常熟理工学院,常熟理工,ChangshuInstituteofTechnology,Changshu Institute of Technology"
河海大学,"河海大学,River Sea University,河海大学环境科学与工程学院,河海大學,河海,HHU,海河大学,华东水利学院,Hohai University"
江苏大学,"江苏大学,江苏理工大学,镇江医学院,江大,JSU,镇江师范专科学校,江苏工学院,Jiangsu University"
常州大学,"常州大学,常大,CCZU,江苏工业学院,Changzhou University"
江苏科技大学,"江苏科技大学,華東船舶工业学院,华东船舶工业学院,江苏科大,江科大,Jiangsu University of Science and Technology"
南京大学,"南京大学,NJU,南京大學,南大,Nanjing University"
南京工程学院,"南京工程学院,南京機械高等專科學校,南工程,南京电力高等专科学校,NJIT,Nanjing Institute of Technology"
南京工业大学,"南京工业大学,南京工大,南京化工大學,南京建筑工程学院,南京工業大學,南工大,南京工业大学建筑学院,南京化工大学,南工(Nanjing Tech),南京工业大學,南京建工学院,Nanjing TechUniversity,Nanjing Tech University"
南京航空航天大学,"南京航空航天大学,南京航空航空大学,南京市航空航天大学,南航大,南京航空航天大學,南京南航,南京航空學院,南京航空航空航天大学,南京航天航空,南京航空学院,南航,NUAA,南京航天航空大学,南京航天大学,Nanjing University of Aeronautics and Astronautics"
东南大学,"东南大学,東南大学,东南南大学,南京工学院,南京东南大学,东南大学医学院,南京铁道医学院,SEU,南京工學院,東南大學,东大,南京東南大學,南京東南大学,Southeast University"
南京理工大学,"南京理工大学,南京理工大學,南京理工大大学,华东工程学院,南理工,南理工大,NJUST,南理工大学,南京理工,华东工学院,南理,Nanjing University of Science and Technology"
南京林业大学,"南京林业大学,南京林業大学,南京林大,南林大学,南京林業大學,南林/NJFU,南林,Nanjing Forestry University"
南京农业大学,"南京农业大学,Agricultural University Of Nanjing,南京农学院,南京農業大學,南农农业大学,南京农业大大学,南农大,南京农业大學,南京农大,南农,Nanjing Agricultural University"
南京师范大学,"南京师范大学,南京师大,南京师范大学能源与机械工程学院,南京动力高等专科学校,南师,南师范大学,南师大,南京師范大學,南京師範大学,南京师范学院,南京高等师范专科学校,南京师范大学紫金校区,南京師範大學,南京师范大学动力工程学院,Nanjing Normal University"
南京信息工程大学,"南京信息工程大学,Nanjing University of Information Science and Technology,南信大,南京信息工程大學,江苏南京信息工程大学,南京工程信息大学,北京气象学院,NUIST,Nanjing University of Information Science & Technology"
南京医科大学,"南京医科大学,南医大,南京医学院,Nanjing Medical University"
南京邮电大学,"南京邮电大学,南京邮电学院,南邮,NJUPT,南京邮电大学经济与管理学院,Nanjing University of Posts and Telecommunications"
南京中医药大学,"南京中医药大学,南中医,南京中医学院,南京中医大,南京中醫藥大學,Nanjing University of Chinese Medicine"
南通大学,"南通大学,南通大学医学院,南通医学院,南通工學院,通大,南通工学院,南通师范学院,Nantong University"
苏州大学,"苏州大学,Soochow University,江苏师范学院,苏大,苏州大学法学院,苏大法学院,苏州医学院,苏州大学医学院,苏州丝绸工学院,苏州大学医学部"
苏州科技大学,"苏州科技大学,苏科大,苏州城建环保学院,SUST,苏州科技学院,苏科院,苏州科大,苏州铁道师范学院,Suzhou University of Science and Technology"
江南大学,"江南大学,無錫輕工大學,东华大学无锡校区,江南大學,江南学院,无锡市江南大学,无锡教育学院,JNU,无锡轻工大学,无锡纺织工学院,無錫轻工大学,江大,无锡轻工业学院,江南學院,無錫江南大學,无锡江南大学,Jiangnan University(JNU),강남대학교,Jiangnan University"
江苏师范大学,"江苏师范大学,徐州师范大学,徐州師範大學,徐州師范大學,徐州師范大学,江苏师大,Jiangsu Normal University"
盐城工学院,"盐城工学院,盐工,鹽城工學院,Yancheng Institute of Technology"
扬州大学,"扬州大学,江苏商业专科学校,扬州工学院,江苏农学院,扬州师范学院,江苏水利工程专科学校,揚州大学,揚州大學,扬州医学院,扬大,Yangzhou University"
中国矿业大学,"中国矿业大学,China University of Mining and Technology,中國礦業大學,中国矿大,徐州中国矿业大学,中国矿业大学(徐州),矿大,中国矿业大学徐州,中国矿业学院"
中国药科大学,"中国药科大学,南京药科大学,中国药大,CPU,药大,中國藥科大學,南京药学院,中国藥科大学,China Pharmaceutical University"
中国美术学院,"中国美术学院,中国美术学院上海设计学院,国立艺术学院,浙江美院,浙江美术学院,中国美术大学,中国美院,杭州美院,国美,China Academy of Art"
杭州电子科技大学,"杭州电子科技大学,Electronic University Of Science &Technology Of Hangzhou,杭州电子科大,杭电,杭科大,杭州电子工业学院,杭州电子大学,杭州科技电子大学,杭州電子科技大學,杭州科技大学,杭州電子工業學院,Hangzhou Dianzi University"
杭州师范大学,"杭州师范大学,杭师大,杭州师范学院,杭师,杭州师大,Hangzhou Normal University"
湖州师范学院,"湖州师范学院,湖师院,湖州师范,湖州师院,HUZU,Huzhou University"
嘉兴大学,"嘉兴学院,Institutes Of Jiaxing,嘉兴大学,嘉院,嘉興學院,Jiaxing University"
宁波大学,"宁波大学,University Of Ningbo,寧波大學,寧波大学,宁大,Ningbo University"
宁波工程学院,"宁波工程学院,寧波工程學院,宁工院/宁工,宁波工程,宁波工学院,宁波高等专科学校,宁工院,Ningbo University of Technology"
绍兴文理学院,"绍兴文理学院,绍兴学院,紹兴文理学院,绍兴文理,绍兴大学,Shaoxing University"
温州大学,"温州大学,温大,WZU,溫州大學,温州师范学院,Wenzhou University"
浙江大学,"浙江大学,浙江大學,浙江农业大学,浙大,浙江大学医学院,浙江医科大学,杭州大学,浙江医学院,Zhejiang University"
浙大城市学院,"浙大城市学院,ZUCC,浙大大学城市学院,浙江城市学院,浙大城院,浙江大学城市学院,Zhejiang University City College"
浙大宁波理工学院,"浙大宁波理工学院,浙江大学宁波理工学院,浙江大学宁波理工大学,浙大理工,浙大宁理,宁波理工学院,宁波浙江大学,浙江宁波理工大学,宁波大学理工学院,浙江宁波理工,宁波理工大学,Ningbo Institute of Technology, Zhejiang University,NingboTech University"
浙江工业大学,"浙江工业大学,浙江工業大學,浙工大,浙江工大,浙工业大学,Zhejiang University of Technology"
浙江海洋大学,"浙江海洋大学,浙海大,ZJOU,浙江海洋学院,浙江海洋學院,Zhejiang Ocean University"
浙江科技大学,"浙江科技学院,Scientific and Technological Institutes Of Zhejiang,浙江科技大学,浙科院,ZUST,Zhejiang University of Science & Technology"
浙江理工大学,"浙江理工大学,Institutes Of Technology Of Zhejiang,浙江丝绸工学院,浙江理工大學,浙理工,ZSTU,浙江理工,浙江工程学院,Zhejiang Sci-Tech University"
浙江农林大学,"浙江农林大学,浙江林学院,浙林,浙农林大,ZAFU,Zhejiang A & F University,Zhejiang A&F University"
浙江师范大学,"浙江师范大学,浙江师大,浙江師範大學,浙江师范学院,浙师大,Zhejiang Normal University"
中国计量大学,"中国计量大学,中量大,中国计量学院,China Jiliang University"
安徽大学,"安徽大学,University Of Anhui,安徽大學,安大·AHU,安大,Anhui University"
安徽工程大学,"安徽工程大学,安徽工程科技學院,江南理工大学,安徽工程大學,安徽工程科技学院,安徽机电学院,芜湖电机制造学校,安工程,Anhui Polytechnic University"
安徽工业大学,"安徽工业大学,華東冶金學院,安徽工业大學,华东冶金学院,安工大,安徽工大,AHUT,安徽工業大學,Anhui University of Technology"
安徽建筑大学,"安徽建筑大学,安徽建工学院,安徽建筑工业学院,安建工,安徽建工學院,安建大,AHJZU,Anhui jianzhu University"
安徽理工大学,"安徽理工大学,AUST,安徽理工大學,淮南礦業學院,淮南理工大学,淮南工业学院,安理工,安徽理工大学能源与安全学院,淮南矿院,淮南矿业学院,Anhui University Of Science & Technology,Anhui University of Science and Technology"
安徽农业大学,"安徽农业大学,Agricultural University Of Anhui,安徽農業大学,安农大,AAU,安徽农学院,安农,安徽农大,安徽農業大學,Anhui Agricultural University"
安徽师范大学,"安徽师范大学,安徽師範大學,安徽师范学院,安徽师大,皖南大学,芜湖师范专科学校,Anhui Normal University"
合肥工业大学,"合肥工业大学,安徽工學院,合工大·HFUT,合肥工业大学(宣城校区),合工大,合肥工大,合肥工大学,安徽工学院,Hefei University of Technology"
合肥大学,"合肥学院,安徽合肥学院,合大,合肥大学,Hefei University"
中国人民解放军国防科技大学,"中国人民解放军国防科技大学,National University of Defense Technology,国防科技大学,中国人民解放军国防科大,中國人民解放軍國防科學技術大學,中国人民解放军西安通信学院,国防科技大学电子对抗学院,中國人民解放軍國防科技大學,中国人民解放军电子工程学院,中国人民解放军国防科学技术大学,解放军西安通信学院,中国人民解放军国防信息学院,國防科學技術大學,國防科技大學,中国人民解放军国际关系学院,西安通信学院,中国人民解放军理工大学气象海洋学院,国防科学技术大学,解放军电子工程学院,国防科大"
中国科学技术大学,"中国科学技术大学,中科大,中国科大,USTC,University of Science and Technology of China"
福建农林大学,"福建农林大学,University Of Agriculture and Forestry In Fujian,福建农大,福建农业大学,福建林学院,Fujian Agriculture and Forestry University (F.A.F.U),Fujian Agriculture and Forestry University"
福建师范大学,"福建师范大学,福建師范大学,福建師范大學,福建師範大學,福建师大,福师大,福建师范学院,Fujian Normal University"
福州大学,"福州大学,福大,FZU,福州大學,Fuzhou University"
